Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SZ300276,20150429,133400,19.37,19.37,19.37,19.37,1000,19370,3,0
SZ300276,20150429,133500,19.37,19.37,19.37,19.37,1100,21307,2,0
SZ300276,20150429,133600,19.37,19.37,19.37,19.37,1300,25181,2,0
SZ300276,20150429,133700,19.37,19.37,19.37,19.37,500,9685,2,0
SZ300276,20150429,133900,19.37,19.37,19.37,19.37,1000,19370,1,0
SZ300276,20150429,134000,19.37,19.37,19.37,19.37,1500,29055,4,0
SZ300276,20150429,134100,19.37,19.37,19.37,19.37,1300,25181,1,0
SZ300276,20150429,134200,19.37,19.37,19.37,19.37,2,39,1,0
SZ300276,20150429,134300,19.37,19.37,19.37,19.37,1200,23244,3,0
SZ300276,20150429,134400,19.37,19.37,19.37,19.37,2000,38740,1,0
SZ300276,20150429,134500,19.37,19.37,19.37,19.37,200,3874,1,0
SZ300276,20150429,134600,19.37,19.37,19.37,19.37,3000,58110,2,0
SZ300276,20150429,134800,19.37,19.37,19.37,19.37,4900,94913,4,0
SZ300276,20150429,134900,19.37,19.37,19.37,19.37,200,3874,1,0
SZ300276,20150429,135000,19.37,19.37,19.37,19.37,1000,19370,2,0
SZ300276,20150429,135100,19.37,19.37,19.37,19.37,3000,58110,1,0
SZ300276,20150429,135500,19.37,19.37,19.37,19.37,2100,40677,2,0
SZ300276,20150429,135600,19.37,19.37,19.37,19.37,1000,19370,1,0
SZ300276,20150429,135700,19.37,19.37,19.37,19.37,12000,232440,4,0
SZ300276,20150429,135800,19.37,19.37,19.37,19.37,23000,445510,4,0
SZ300276,20150429,135900,19.37,19.37,19.37,19.37,5100,98787,7,0
SZ300276,20150429,140000,19.37,19.37,19.37,19.37,3100,60047,4,0
SZ300276,20150429,140100,19.37,19.37,19.37,19.37,4400,85228,4,0
SZ300276,20150429,140200,19.37,19.37,19.37,19.37,2300,44551,5,0
SZ300276,20150429,140300,19.37,19.37,19.37,19.37,1800,34866,1,0
SZ300276,20150429,140400,19.37,19.37,19.37,19.37,300,5811,1,0
SZ300276,20150429,140500,19.37,19.37,19.37,19.37,6800,131716,3,0
SZ300276,20150429,140600,19.37,19.37,19.37,19.37,300,5811,1,0
SZ300276,20150429,140700,19.37,19.37,19.37,19.37,15000,290550,5,0
SZ300276,20150429,140800,19.37,19.37,19.37,19.37,1000,19370,1,0
SZ300276,20150429,140900,19.37,19.37,19.37,19.37,2000,38740,1,0
SZ300276,20150429,141000,19.37,19.37,19.37,19.37,6000,116220,4,0
SZ300276,20150429,141200,19.37,19.37,19.37,19.37,2700,52299,4,0
