Symbol,Date,Time,Close,Open,High,Low,Volume,Amount,MatchItem,Interest
SH600018,20140905,143400,5.3,5.3,5.3,5.3,65434,346801,50,0
SH600018,20140905,143500,5.3,5.3,5.3,5.3,42685,226230,36,0
SH600018,20140905,143600,5.3,5.3,5.3,5.3,113935,603856,24,0
SH600018,20140905,143700,5.3,5.3,5.3,5.3,69635,369065,26,0
SH600018,20140905,143800,5.3,5.3,5.3,5.3,133984,710115,35,0
SH600018,20140905,143900,5.3,5.3,5.3,5.3,152835,810026,32,0
SH600018,20140905,144000,5.3,5.3,5.3,5.3,69434,368000,42,0
SH600018,20140905,144100,5.3,5.3,5.3,5.3,129535,686535,33,0
SH600018,20140905,144200,5.3,5.3,5.3,5.3,69852,370216,32,0
SH600018,20140905,144300,5.3,5.3,5.3,5.3,152550,808515,48,0
SH600018,20140905,144400,5.3,5.3,5.3,5.3,76200,403860,38,0
SH600018,20140905,144500,5.3,5.3,5.3,5.3,155900,826270,27,0
SH600018,20140905,144600,5.3,5.3,5.3,5.3,94700,501910,28,0
SH600018,20140905,144700,5.3,5.3,5.3,5.3,56300,298390,26,0
SH600018,20140905,144800,5.3,5.3,5.3,5.3,59300,314290,29,0
SH600018,20140905,144900,5.3,5.3,5.3,5.3,61801,327545,31,0
SH600018,20140905,145000,5.3,5.3,5.3,5.3,104301,552796,44,0
SH600018,20140905,145100,5.3,5.3,5.3,5.3,485110,2571083,143,0
SH600018,20140905,145200,5.3,5.3,5.3,5.3,74497,394834,34,0
SH600018,20140905,145300,5.3,5.3,5.3,5.3,37900,200870,26,0
SH600018,20140905,145400,5.3,5.3,5.3,5.3,47800,253340,27,0
SH600018,20140905,145500,5.3,5.3,5.3,5.3,90100,477530,30,0
SH600018,20140905,145600,5.3,5.3,5.3,5.3,33400,177020,24,0
SH600018,20140905,145700,5.3,5.3,5.3,5.3,26700,141510,30,0
SH600018,20140905,145800,5.3,5.3,5.3,5.3,45800,242740,48,0
SH600018,20140905,145900,5.3,5.3,5.3,5.3,35870,190111,39,0
